rep,dataset,recall_2p_mean,recall_2p_std
bag_of_aa5,3gbn_h1,0.7368,0.2294
bag_of_aa5,3gbn_h9,0.964,0.0156
bag_of_aa5,aayl49,0.2031,0.0176
bag_of_aa5,aayl51,0.2644,0.0501
bag_of_aa5,aayl49_ml,0.2685,0.0231
bag_of_aa5,aayl50,0.4754,0.029
bag_of_aa5,aayl52,0.7378,0.0113
bag_of_aa5,4fqi_h3,0.9997,0.0005
blosum_eigen,3gbn_h1,0.8245,0.0804
blosum_eigen,3gbn_h9,0.9459,0.0271
blosum_eigen,aayl49,0.1571,0.0435
blosum_eigen,aayl51,0.1494,0.0345
blosum_eigen,aayl49_ml,0.263,0.0116
blosum_eigen,aayl50,0.4754,0.011
blosum_eigen,aayl52,0.5293,0.0219
blosum_eigen,4fqi_h3,0.8157,0.006
one_hot,3gbn_h1,0.7982,0.0804
one_hot,3gbn_h9,0.973,0.0271
one_hot,aayl49,0.1839,0.0609
one_hot,aayl51,0.1647,0.0351
one_hot,aayl49_ml,0.2704,0.0085
one_hot,aayl50,0.4667,0.0165
one_hot,aayl52,0.5306,0.012
one_hot,4fqi_h3,0.804,0.0199
