cycle,n_labelled,pct_labelled,spearman,recall_2p,recall_5p,dataset,seed
0,19,1.01,0.8687,0.0,0.0,3gbn_h1,42
1,38,2.01,0.8703,0.0263,0.0211,3gbn_h1,42
2,57,3.02,0.8736,0.1579,0.2105,3gbn_h1,42
3,76,4.03,0.8788,0.4211,0.3789,3gbn_h1,42
4,95,5.03,0.8849,0.6053,0.5368,3gbn_h1,42
5,114,6.04,0.8859,0.7632,0.6737,3gbn_h1,42
6,133,7.05,0.8855,0.8421,0.8,3gbn_h1,42
7,152,8.06,0.8854,0.8947,0.8526,3gbn_h1,42
8,171,9.06,0.8874,0.8947,0.8632,3gbn_h1,42
9,190,10.07,0.8888,0.8947,0.8737,3gbn_h1,42
0,19,1.01,0.884,0.0,0.0,3gbn_h1,123
1,38,2.01,0.8834,0.3684,0.1789,3gbn_h1,123
2,57,3.02,0.8854,0.5,0.3579,3gbn_h1,123
3,76,4.03,0.8857,0.7105,0.5368,3gbn_h1,123
4,95,5.03,0.8857,0.7105,0.6632,3gbn_h1,123
5,114,6.04,0.885,0.8158,0.7895,3gbn_h1,123
6,133,7.05,0.8859,0.8421,0.8211,3gbn_h1,123
7,152,8.06,0.8861,0.8684,0.8526,3gbn_h1,123
8,171,9.06,0.8856,0.8684,0.8526,3gbn_h1,123
9,190,10.07,0.8875,0.8947,0.8632,3gbn_h1,123
0,19,1.01,0.8915,0.0,0.0,3gbn_h1,456
1,38,2.01,0.8966,0.0526,0.0737,3gbn_h1,456
2,57,3.02,0.8968,0.2368,0.2421,3gbn_h1,456
3,76,4.03,0.8977,0.5526,0.4105,3gbn_h1,456
4,95,5.03,0.8987,0.7368,0.6,3gbn_h1,456
5,114,6.04,0.8993,0.7895,0.7158,3gbn_h1,456
6,133,7.05,0.9002,0.8158,0.7895,3gbn_h1,456
7,152,8.06,0.9018,0.8421,0.8421,3gbn_h1,456
8,171,9.06,0.9018,0.8684,0.8526,3gbn_h1,456
9,190,10.07,0.9008,0.8947,0.8737,3gbn_h1,456
0,18,0.98,0.8666,0.0,0.0,3gbn_h9,42
1,36,1.95,0.8791,0.027,0.086,3gbn_h9,42
2,54,2.93,0.8949,0.1892,0.2151,3gbn_h9,42
3,72,3.91,0.905,0.4324,0.3763,3gbn_h9,42
4,90,4.89,0.9095,0.7027,0.5484,3gbn_h9,42
5,108,5.86,0.911,0.9459,0.7204,3gbn_h9,42
6,126,6.84,0.9102,0.973,0.8387,3gbn_h9,42
7,144,7.82,0.9095,0.973,0.8925,3gbn_h9,42
8,162,8.79,0.9105,0.973,0.9032,3gbn_h9,42
9,180,9.77,0.9118,0.973,0.9032,3gbn_h9,42
0,18,0.98,0.8801,0.0,0.0108,3gbn_h9,123
1,36,1.95,0.8798,0.3514,0.172,3gbn_h9,123
2,54,2.93,0.8817,0.4324,0.3226,3gbn_h9,123
3,72,3.91,0.8825,0.7838,0.4839,3gbn_h9,123
4,90,4.89,0.8825,0.9189,0.6344,3gbn_h9,123
5,108,5.86,0.8825,0.9189,0.7527,3gbn_h9,123
6,126,6.84,0.8855,0.9459,0.8172,3gbn_h9,123
7,144,7.82,0.887,0.973,0.9032,3gbn_h9,123
8,162,8.79,0.8882,0.973,0.9032,3gbn_h9,123
9,180,9.77,0.884,0.973,0.9032,3gbn_h9,123
0,18,0.98,0.7134,0.0,0.0,3gbn_h9,456
1,36,1.95,0.7574,0.0811,0.0645,3gbn_h9,456
2,54,2.93,0.7725,0.3784,0.2258,3gbn_h9,456
3,72,3.91,0.784,0.6486,0.4194,3gbn_h9,456
4,90,4.89,0.7895,0.8919,0.5699,3gbn_h9,456
5,108,5.86,0.7911,0.9189,0.6559,3gbn_h9,456
6,126,6.84,0.7914,0.9189,0.6559,3gbn_h9,456
7,144,7.82,0.7922,0.9189,0.6559,3gbn_h9,456
8,162,8.79,0.7937,0.9189,0.6559,3gbn_h9,456
9,180,9.77,0.797,0.9189,0.6559,3gbn_h9,456
0,43,1.0,0.243,0.0,0.0139,aayl49,42
1,86,1.99,0.258,0.069,0.0509,aayl49,42
2,129,2.99,0.2996,0.1149,0.1065,aayl49,42
3,172,3.99,0.3471,0.1839,0.1574,aayl49,42
4,215,4.99,0.3755,0.2299,0.2037,aayl49,42
5,258,5.98,0.3799,0.2644,0.2315,aayl49,42
6,301,6.98,0.3878,0.2759,0.25,aayl49,42
7,344,7.98,0.4021,0.3333,0.3194,aayl49,42
8,387,8.97,0.4099,0.3793,0.3565,aayl49,42
9,430,9.97,0.4149,0.4138,0.3889,aayl49,42
0,43,1.0,0.3633,0.0,0.0046,aayl49,123
1,86,1.99,0.3527,0.0,0.0278,aayl49,123
2,129,2.99,0.3612,0.046,0.0648,aayl49,123
3,172,3.99,0.378,0.0575,0.0741,aayl49,123
4,215,4.99,0.4007,0.1034,0.1065,aayl49,123
5,258,5.98,0.4219,0.1724,0.1574,aayl49,123
6,301,6.98,0.4164,0.2299,0.2037,aayl49,123
7,344,7.98,0.4071,0.2874,0.2593,aayl49,123
8,387,8.97,0.4406,0.3563,0.3009,aayl49,123
9,430,9.97,0.4583,0.3908,0.338,aayl49,123
0,43,1.0,0.2728,0.0,0.0093,aayl49,456
1,86,1.99,0.1917,0.023,0.037,aayl49,456
2,129,2.99,0.211,0.069,0.0833,aayl49,456
3,172,3.99,0.271,0.1954,0.1667,aayl49,456
4,215,4.99,0.3423,0.2184,0.1806,aayl49,456
5,258,5.98,0.3536,0.2644,0.213,aayl49,456
6,301,6.98,0.3734,0.2874,0.2593,aayl49,456
7,344,7.98,0.4064,0.3333,0.3056,aayl49,456
8,387,8.97,0.4061,0.3908,0.3426,aayl49,456
9,430,9.97,0.4213,0.4253,0.3843,aayl49,456
0,43,1.0,0.171,0.0115,0.0185,aayl51,42
1,86,1.99,0.2305,0.023,0.0278,aayl51,42
2,129,2.99,0.2514,0.092,0.0787,aayl51,42
3,172,3.98,0.3368,0.1609,0.1343,aayl51,42
4,215,4.98,0.3716,0.2529,0.1991,aayl51,42
5,258,5.97,0.3752,0.2989,0.2315,aayl51,42
6,301,6.97,0.3691,0.3333,0.25,aayl51,42
7,344,7.96,0.3688,0.4023,0.2963,aayl51,42
8,387,8.96,0.3758,0.4023,0.3056,aayl51,42
9,430,9.95,0.3971,0.4138,0.3148,aayl51,42
0,43,1.0,0.1803,0.0115,0.0093,aayl51,123
1,86,1.99,0.2251,0.046,0.0324,aayl51,123
2,129,2.99,0.242,0.1034,0.0741,aayl51,123
3,172,3.98,0.2916,0.1609,0.1157,aayl51,123
4,215,4.98,0.318,0.2069,0.1574,aayl51,123
5,258,5.97,0.3721,0.2299,0.1898,aayl51,123
6,301,6.97,0.3927,0.2759,0.2222,aayl51,123
7,344,7.96,0.4015,0.3103,0.2639,aayl51,123
8,387,8.96,0.4058,0.3218,0.287,aayl51,123
9,430,9.95,0.4256,0.3793,0.3194,aayl51,123
0,43,1.0,0.2218,0.0,0.0046,aayl51,456
1,86,1.99,0.206,0.0115,0.0278,aayl51,456
2,129,2.99,0.2667,0.0345,0.0602,aayl51,456
3,172,3.98,0.3162,0.1264,0.1157,aayl51,456
4,215,4.98,0.3091,0.1609,0.1528,aayl51,456
5,258,5.97,0.2713,0.2069,0.1852,aayl51,456
6,301,6.97,0.327,0.2414,0.213,aayl51,456
7,344,7.96,0.3365,0.2759,0.2407,aayl51,456
8,387,8.96,0.3441,0.2989,0.2685,aayl51,456
9,430,9.95,0.3547,0.3333,0.3056,aayl51,456
0,90,1.01,0.351,0.0,0.0089,aayl49_ml,42
1,180,2.01,0.3341,0.0222,0.0446,aayl49_ml,42
2,270,3.02,0.3226,0.05,0.067,aayl49_ml,42
3,360,4.02,0.3188,0.0833,0.0938,aayl49_ml,42
4,450,5.03,0.3272,0.1222,0.1317,aayl49_ml,42
5,540,6.03,0.3371,0.1444,0.1562,aayl49_ml,42
6,630,7.04,0.3522,0.1778,0.1853,aayl49_ml,42
7,720,8.04,0.3509,0.2056,0.2143,aayl49_ml,42
8,810,9.05,0.3441,0.2389,0.2455,aayl49_ml,42
9,900,10.05,0.3383,0.2722,0.2723,aayl49_ml,42
0,90,1.01,0.3086,0.0167,0.0134,aayl49_ml,123
1,180,2.01,0.3055,0.0611,0.0536,aayl49_ml,123
2,270,3.02,0.2956,0.1,0.0848,aayl49_ml,123
3,360,4.02,0.2894,0.1333,0.1183,aayl49_ml,123
4,450,5.03,0.3098,0.15,0.1406,aayl49_ml,123
5,540,6.03,0.3089,0.1944,0.1763,aayl49_ml,123
6,630,7.04,0.312,0.2333,0.2165,aayl49_ml,123
7,720,8.04,0.335,0.25,0.2411,aayl49_ml,123
8,810,9.05,0.3321,0.2833,0.2723,aayl49_ml,123
9,900,10.05,0.3432,0.3056,0.3036,aayl49_ml,123
0,90,1.01,0.3146,0.0222,0.0112,aayl49_ml,456
1,180,2.01,0.3158,0.0556,0.0402,aayl49_ml,456
2,270,3.02,0.3114,0.0833,0.0692,aayl49_ml,456
3,360,4.02,0.3114,0.1056,0.0982,aayl49_ml,456
4,450,5.03,0.3011,0.1444,0.1317,aayl49_ml,456
5,540,6.03,0.3013,0.1944,0.1674,aayl49_ml,456
6,630,7.04,0.3269,0.2389,0.2009,aayl49_ml,456
7,720,8.04,0.328,0.2778,0.2321,aayl49_ml,456
8,810,9.05,0.3315,0.3111,0.2701,aayl49_ml,456
9,900,10.05,0.3304,0.3333,0.2991,aayl49_ml,456
0,115,1.0,0.2963,0.0,0.0087,aayl50,42
1,230,2.0,0.2328,0.0696,0.0627,aayl50,42
2,345,3.01,0.3279,0.1087,0.0976,aayl50,42
3,460,4.01,0.3421,0.1522,0.1411,aayl50,42
4,575,5.01,0.3711,0.1783,0.1742,aayl50,42
5,690,6.01,0.3971,0.2391,0.216,aayl50,42
6,805,7.02,0.383,0.3391,0.284,aayl50,42
7,920,8.02,0.3769,0.4478,0.3537,aayl50,42
8,1035,9.02,0.4053,0.5217,0.4059,aayl50,42
9,1150,10.02,0.4095,0.5826,0.4652,aayl50,42
0,115,1.0,0.2705,0.0087,0.0105,aayl50,123
1,230,2.0,0.3142,0.1391,0.0871,aayl50,123
2,345,3.01,0.3006,0.2261,0.1376,aayl50,123
3,460,4.01,0.3051,0.3174,0.2108,aayl50,123
4,575,5.01,0.3508,0.3826,0.2631,aayl50,123
5,690,6.01,0.3666,0.4522,0.3362,aayl50,123
6,805,7.02,0.3497,0.5304,0.385,aayl50,123
7,920,8.02,0.3658,0.5783,0.4303,aayl50,123
8,1035,9.02,0.3957,0.6348,0.4756,aayl50,123
9,1150,10.02,0.4047,0.6652,0.5087,aayl50,123
0,115,1.0,0.2415,0.0043,0.007,aayl50,456
1,230,2.0,0.2885,0.0565,0.054,aayl50,456
2,345,3.01,0.3014,0.113,0.1045,aayl50,456
3,460,4.01,0.3223,0.2217,0.1672,aayl50,456
4,575,5.01,0.34,0.3261,0.23,aayl50,456
5,690,6.01,0.3659,0.3957,0.2875,aayl50,456
6,805,7.02,0.383,0.4565,0.3432,aayl50,456
7,920,8.02,0.4012,0.5043,0.3798,aayl50,456
8,1035,9.02,0.4111,0.5739,0.4321,aayl50,456
9,1150,10.02,0.4062,0.6304,0.4774,aayl50,456
0,133,1.0,0.3619,0.0112,0.006,aayl52,42
1,266,2.0,0.4136,0.1348,0.09,aayl52,42
2,399,2.99,0.4266,0.2884,0.1994,aayl52,42
3,532,3.99,0.4508,0.427,0.2954,aayl52,42
4,665,4.99,0.4596,0.5281,0.3898,aayl52,42
5,798,5.99,0.48,0.603,0.4528,aayl52,42
6,931,6.99,0.4936,0.6891,0.5262,aayl52,42
7,1064,7.99,0.4891,0.7341,0.5847,aayl52,42
8,1197,8.98,0.5001,0.7715,0.6237,aayl52,42
9,1330,9.98,0.5085,0.8052,0.6627,aayl52,42
0,133,1.0,0.3556,0.0187,0.0105,aayl52,123
1,266,2.0,0.3754,0.1461,0.1019,aayl52,123
2,399,2.99,0.4122,0.2622,0.1934,aayl52,123
3,532,3.99,0.4401,0.3745,0.2804,aayl52,123
4,665,4.99,0.45,0.4569,0.3568,aayl52,123
5,798,5.99,0.4613,0.5993,0.4543,aayl52,123
6,931,6.99,0.4625,0.7041,0.5412,aayl52,123
7,1064,7.99,0.481,0.7528,0.5892,aayl52,123
8,1197,8.98,0.4898,0.7753,0.6252,aayl52,123
9,1330,9.98,0.4956,0.8052,0.6627,aayl52,123
0,133,1.0,0.384,0.0112,0.0105,aayl52,456
1,266,2.0,0.4128,0.0936,0.081,aayl52,456
2,399,2.99,0.4164,0.2697,0.2024,aayl52,456
3,532,3.99,0.4331,0.397,0.2849,aayl52,456
4,665,4.99,0.4479,0.5169,0.3808,aayl52,456
