dataset,kernel,protocol,n_seeds,recall_2p_mean,recall_2p_std,recall_5p_mean,recall_5p_std,spearman_mean,spearman_std,budget_pct
3gbn_h1,tanimoto,ucb,3,0.8947,0.0,0.8702,0.0061,0.8924,0.0073,10.07
3gbn_h1,tanimoto,ei,3,0.8947,0.0,0.8702,0.0121,0.8919,0.0069,10.07
3gbn_h1,tanimoto,pi,3,0.8947,0.0,0.8667,0.0061,0.8927,0.0078,10.07
3gbn_h1,tanimoto,random,3,0.0965,0.0548,0.0842,0.0421,0.9452,0.0026,10.07
3gbn_h1,matern,ucb,3,0.8684,0.0263,0.8702,0.037,0.8597,0.0188,10.07
3gbn_h1,matern,ei,3,0.8772,0.0304,0.8737,0.0278,0.8612,0.0217,10.07
3gbn_h1,matern,pi,3,0.7281,0.1791,0.7263,0.1949,0.8548,0.0112,10.07
3gbn_h1,matern,random,3,0.0965,0.0548,0.0842,0.0421,0.9435,0.0062,10.07
3gbn_h1,rbf,ucb,3,0.7895,0.1147,0.7649,0.1523,0.8567,0.016,10.07
3gbn_h1,rbf,ei,3,0.8772,0.0152,0.8737,0.0279,0.8613,0.0208,10.07
3gbn_h1,rbf,pi,3,0.7105,0.251,0.6983,0.2676,0.8534,0.0107,10.07
3gbn_h1,rbf,random,3,0.0965,0.0548,0.0842,0.0421,0.9434,0.0063,10.07
3gbn_h1,rq,ucb,3,0.8859,0.0152,0.8597,0.0061,0.8834,0.0189,10.07
3gbn_h1,rq,ei,3,0.8859,0.0152,0.8632,0.0106,0.8828,0.0204,10.07
3gbn_h1,rq,pi,3,0.8772,0.0304,0.8632,0.0182,0.8843,0.0184,10.07
3gbn_h1,rq,random,3,0.0965,0.0548,0.0842,0.0421,0.9454,0.005,10.07
3gbn_h9,tanimoto,ucb,3,0.955,0.0312,0.8208,0.1428,0.8643,0.0599,9.77
3gbn_h9,tanimoto,ei,3,0.955,0.0312,0.8244,0.146,0.8626,0.0609,9.77
3gbn_h9,tanimoto,pi,3,0.955,0.0312,0.8244,0.146,0.8629,0.0604,9.77
3gbn_h9,tanimoto,random,3,0.0811,0.0715,0.061,0.0328,0.965,0.001,9.77
3gbn_h9,matern,ucb,3,0.8198,0.2423,0.7849,0.1138,0.8231,0.0721,9.77
3gbn_h9,matern,ei,3,0.8739,0.1489,0.81,0.0902,0.8234,0.0733,9.77
3gbn_h9,matern,pi,3,0.6396,0.5541,0.552,0.4857,0.8033,0.0557,1.95
3gbn_h9,matern,random,3,0.0811,0.0715,0.061,0.0328,0.9597,0.0006,9.77
3gbn_h9,rbf,ucb,3,0.8198,0.2423,0.7957,0.1133,0.8144,0.0677,9.77
3gbn_h9,rbf,ei,3,0.8379,0.2341,0.8136,0.1044,0.8211,0.0661,9.77
3gbn_h9,rbf,pi,3,0.8198,0.2423,0.7993,0.1129,0.8147,0.0669,9.77
3gbn_h9,rbf,random,3,0.0811,0.0715,0.061,0.0328,0.9613,0.0008,9.77
3gbn_h9,rq,ucb,3,0.964,0.0413,0.8387,0.1655,0.857,0.058,9.77
3gbn_h9,rq,ei,3,0.964,0.0413,0.8459,0.1688,0.8621,0.0498,9.77
3gbn_h9,rq,pi,3,0.955,0.0312,0.8351,0.161,0.8591,0.0582,9.77
3gbn_h9,rq,random,3,0.0811,0.0715,0.061,0.0328,0.9613,0.0009,9.77
aayl49,tanimoto,ucb,3,0.41,0.0176,0.3704,0.0282,0.4315,0.0234,9.97
aayl49,tanimoto,ei,3,0.364,0.0133,0.341,0.0233,0.4619,0.0187,9.97
aayl49,tanimoto,pi,3,0.3027,0.0567,0.2515,0.056,0.412,0.0321,9.97
aayl49,tanimoto,random,3,0.0767,0.0066,0.1003,0.0149,0.5306,0.0195,9.97
aayl49,matern,ucb,3,0.364,0.0543,0.3534,0.0175,0.2562,0.0341,9.97
aayl49,matern,ei,3,0.3448,0.0304,0.3148,0.0212,0.3188,0.0349,9.97
aayl49,matern,pi,3,0.2299,0.0345,0.1821,0.0348,0.4413,0.0099,9.97
aayl49,matern,random,3,0.0767,0.0066,0.1003,0.0149,0.5355,0.0117,9.97
aayl49,rbf,ucb,3,0.3525,0.0289,0.3364,0.0096,0.2158,0.0608,9.97
aayl49,rbf,ei,3,0.3103,0.0304,0.2948,0.043,0.3235,0.118,9.97
aayl49,rbf,pi,3,0.2146,0.0543,0.1728,0.0707,0.426,0.041,9.97
aayl49,rbf,random,3,0.0767,0.0066,0.1003,0.0149,0.5235,0.0133,9.97
aayl49,rq,ucb,3,0.3908,0.0304,0.3673,0.0209,0.4364,0.0178,9.97
aayl49,rq,ei,3,0.3065,0.059,0.2747,0.0604,0.4857,0.0142,9.97
aayl49,rq,pi,3,0.2261,0.0289,0.1728,0.0208,0.4474,0.0189,9.97
aayl49,rq,random,3,0.0767,0.0066,0.1003,0.0149,0.5471,0.0112,9.97
aayl51,tanimoto,ucb,3,0.3755,0.0404,0.3133,0.007,0.3925,0.0357,9.95
aayl51,tanimoto,ei,3,0.3716,0.0332,0.2963,0.0123,0.4053,0.0275,9.95
aayl51,tanimoto,pi,3,0.3716,0.0066,0.2978,0.0163,0.3951,0.0394,9.95
aayl51,tanimoto,random,3,0.0958,0.0567,0.1065,0.0401,0.4851,0.0094,9.95
aayl51,matern,ucb,3,0.2759,0.0501,0.2778,0.0202,0.2274,0.0769,9.95
aayl51,matern,ei,3,0.2644,0.069,0.2161,0.0463,0.3594,0.0766,9.95
aayl51,matern,pi,3,0.2835,0.0815,0.2793,0.0315,0.299,0.0648,9.95
aayl51,matern,random,3,0.0958,0.0567,0.1065,0.0401,0.4986,0.0103,9.95
aayl51,rbf,ucb,3,0.2835,0.0543,0.27,0.0163,0.242,0.0631,9.95
aayl51,rbf,ei,3,0.2529,0.0415,0.2392,0.0175,0.3666,0.0221,9.95
aayl51,rbf,pi,3,0.2912,0.0807,0.2639,0.0212,0.2772,0.0215,9.95
aayl51,rbf,random,3,0.0958,0.0567,0.1065,0.0401,0.4813,0.0057,9.95
aayl51,rq,ucb,3,0.3218,0.0199,0.3056,0.0139,0.4106,0.0418,9.95
aayl51,rq,ei,3,0.3257,0.0289,0.2546,0.0202,0.4507,0.0309,9.95
aayl51,rq,pi,3,0.3142,0.0435,0.2793,0.0255,0.4639,0.0124,9.95
aayl51,rq,random,3,0.0958,0.0567,0.1065,0.0401,0.5077,0.0104,9.95
aayl49_ml,tanimoto,ucb,3,0.3037,0.0306,0.2917,0.0169,0.3373,0.0065,10.05
aayl49_ml,tanimoto,ei,3,0.2648,0.0179,0.2545,0.0161,0.3586,0.0112,10.05
aayl49_ml,tanimoto,pi,3,0.2963,0.0128,0.2768,0.0169,0.3535,0.0068,10.05
aayl49_ml,tanimoto,random,3,0.0907,0.017,0.1146,0.0034,0.4664,0.0138,10.05
aayl49_ml,matern,ucb,3,0.2741,0.0251,0.2701,0.0302,0.1636,0.0391,10.05
