plm,dataset,recall_2p_mean,recall_2p_std
esm2,3gbn_h1,0.8947,0.0
esm2,3gbn_h9,0.955,0.0312
esm2,aayl49,0.41,0.0176
esm2,aayl51,0.3755,0.0404
esm2,aayl49_ml,0.3037,0.0306
esm2,aayl50,0.6261,0.0415
esm2,aayl52,0.819,0.0178
esm2,4fqi_h3,0.999,0.0018
protbert,3gbn_h1,0.8333,0.0402
protbert,3gbn_h9,0.973,0.0
protbert,aayl49,0.2567,0.0765
protbert,aayl51,0.3027,0.0351
protbert,aayl49_ml,0.2778,0.0056
protbert,aayl50,0.5985,0.029
protbert,aayl52,0.7753,0.0075
protbert,4fqi_h3,1.0,0.0
antiberty_concat,3gbn_h1,0.8596,0.0304
antiberty_concat,3gbn_h9,0.973,0.0
antiberty_concat,aayl49,0.3142,0.0518
antiberty_concat,aayl51,0.2491,0.0289
antiberty_concat,aayl49_ml,0.2889,0.0192
antiberty_concat,aayl50,0.4087,0.2147
antiberty_concat,aayl52,0.5406,0.0095
antiberty_concat,4fqi_h3,1.0,0.0
antiberty_paired,3gbn_h1,0.7895,0.1147
antiberty_paired,3gbn_h9,0.8829,0.0156
antiberty_paired,aayl49,0.4023,0.0575
antiberty_paired,aayl51,0.2759,0.0115
antiberty_paired,aayl49_ml,0.287,0.037
antiberty_paired,aayl50,0.5522,0.023
antiberty_paired,aayl52,0.7266,0.0112
antiberty_paired,4fqi_h3,1.0,0.0
ablang2,3gbn_h1,0.8772,0.0152
ablang2,3gbn_h9,0.8468,0.1488
ablang2,aayl49,0.2567,0.0567
ablang2,aayl51,0.2912,0.0265
ablang2,aayl49_ml,0.2593,0.0378
ablang2,aayl50,0.5188,0.0181
ablang2,aayl52,0.779,0.0099
ablang2,4fqi_h3,1.0,0.0
progen2,3gbn_h1,0.7895,0.0696
progen2,3gbn_h9,0.955,0.0312
progen2,aayl49,0.1571,0.0266
progen2,aayl51,0.1341,0.0478
progen2,aayl49_ml,0.2815,0.0085
progen2,aayl50,0.4391,0.0399
progen2,aayl52,0.4956,0.0156
progen2,4fqi_h3,0.8075,0.0047
